username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
GreenBanana,4390015513,2018-02-27 20:31:47,RT @ScottMStedman: This story is yet another example of BuzzFeed being on top of their game. They are killing it on the Trump/Russia beat....,25,None,421,504,0.04999999999999999,0.45
Ray B.,276363101,2018-02-27 20:31:47,RT @joshtpm: Watch Trump's body language as Gov of Washington Jay Inslee explains to him how stupid his arming teachers idea is and asks hi...,12406,None,214,420,-0.7999999999999999,1.0
John Filimon,32777872,2018-02-27 20:31:47,RT @Shareblue: Watch Sen. McCaskill shred Trump NSA chief for failure to act on Russia https://t.co/ibM3HCpO9Y by @tommyxtopher,31,None,218,376,-0.3166666666666667,0.3
Nada Bakos,104271823,2018-02-27 20:31:47,"RT @markondefense: Serious question: as much as this is unsurprising given Trump view on Russian election interference, 4 DoD isn't this an...",1,None,66076,2008,-0.04444444444444443,0.2888888888888889
Boe Mc,785240239539355649,2018-02-27 20:31:47,"RT @EdKrassen: BREAKING: Josh Raffel, a Senior White House communications official who has worked closely with Trumps son-in-law Jared Kush...",407,None,31,68,0.0,0.0
Shira Geller,28371952,2018-02-27 20:31:47,RT @TG_nevertrump: Cheri is absolutely correct.  All of the media coverage was driven by the overwhelming number of bots and trolls showing...,19,None,510,202,0.35,0.95
gloria,1109039670,2018-02-27 20:31:47,@RawStory @JoyAnnReid The Trump family actually thinks some kinds of abuse is acceptable!  They are all a bunch of... https://t.co/aJqtkdIjl3,0,None,4,29,0.0,0.1
Tony Ramirez,8393412,2018-02-27 20:31:47,"RT @WIRED: Brad Parscale, former digital director of Trump's 2016 campaign, is named campaign manager for Trump 2020. Here's what to know a...",195,None,20680,21860,0.0,0.0
BitterDickery ™,763498399068925952,2018-02-27 20:31:47,RT @WilDonnelly: BREAKING: NSA Director Mike Rogers tells the Senate Intel Committee that he has not been directed by President Trump or De...,2074,None,462,953,0.0,0.0
🙈🙉🙊ssedloff🙈🙉🙊,2759942412,2018-02-27 20:31:47,RT @krassenstein: Trump's EPA just announced that it is dissolving a program that funds studies on the effects of pollution and chemical ex...,4974,None,2330,2727,0.0,0.0
jjdressgown,829872457947430912,2018-02-27 20:31:47,"RT @charliekirk11: If a Democrat President achieved what Trump has done, they would say he had one of the most successful years ever in the...",95,None,1321,1147,0.625,0.725
Kees Buijtelaar,217453153,2018-02-27 20:31:47,RT @MsMariaT: The Mystery Professor At The Center Of The Russia-Trump Probe Has Disappeared. Even His Girlfriend Can't Find Him. https://t....,11,None,552,2656,-0.1,0.1
