username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Jay23 (M.Rajoy),1854497078,2018-02-19 23:07:09,"RT @hartigan_connor: ""Far-right demonstrations always end in violence in Spain...There is no point in pretending they don't...far-right dem...",37,None,42,580,0.0,0.0
xavi_peres,364849360,2018-02-19 23:06:56,"RT @catalanFF: Benjamin Marriner Pratt, a fireman from Augusta (USA) who supports the Catalan People that wants to decide what they want to...",1220,None,79,91,0.2,0.1
Karles Puigdemont🎗,873652852840857600,2018-02-19 23:06:36,"RT @hartigan_connor: ""Far-right demonstrations always end in violence in Spain...There is no point in pretending they don't...far-right dem...",37,None,186,175,0.0,0.0
Max,923091291801604096,2018-02-19 23:06:26,RT @AmblAlina: Most prosecuted Catalan politicians are out on bail. This bail is not small (25KEUR-150KEUR for each person). ANC and Omnium pay...,1,None,237,372,0.3125,0.45
Nihil Verum,838461973889236992,2018-02-19 23:06:20,@peterpanyaceite @GlobalC94086009 @RobertHMerriman @KerstiKaljulaid @KRLS @Bcnisnotcat_ They all apply. Can you be... https://t.co/OEzI2ehQZp,0,None,167,687,0.0,0.0
L’anarchia Verrà 💣,749403942623207425,2018-02-19 23:06:02,LRT i remember reading something about Einstein visiting Catalonia before the Spanish Revolution and talking with C... https://t.co/rlITr40zzy,0,None,2533,735,0.0,0.0
TaiwanFree,48784000,2018-02-19 23:04:53,"10 years to reach crime court ! So  ineffective of Spanish legal system, no wonder Catalonia want independent!  https://t.co/JZjFnez6KU",0,None,5,13,0.06666666666666667,0.10833333333333334
Free wild Raven,1148494027,2018-02-19 23:04:50,"RT @Ross8992: ""The Speaker of the Catalan Parliament, Roger Torrent, has refused to meet with the Spanish government's representative in Ca...",26,None,141,232,0.0,0.0
Ana RS,856193292479979520,2018-02-19 23:03:57,Most prosecuted Catalan politicians are out on bail. This bail is not small (25KEUR-150KEUR for each person). ANC and O... https://t.co/KIVBPK84YS,1,None,148,79,0.3125,0.45
PauHR,88649673,2018-02-19 23:03:50,RT @CollectiuEmma: Operation #Catalonia: Spain's assault on democracy https://t.co/PvEX5cydQb,31,Catalonia,78,208,0.0,0.0
Pilar Merodio,2902707773,2018-02-19 23:03:49,"RT @lizcastro: Spain's democracy and EU credibility are at stake in Catalonia, says Swedish newspaper
https://t.co/MCjyqRPkoq",356,None,261,326,0.0,0.0
Dr. Yaacoub Hallak,49794620,2018-02-19 23:02:35,RT @YNHallak: Wonderful cities in #Spain - discover them now! https://t.co/z21uTehrfm  https://t.co/mdoX2q36kN https://t.co/8AW244lcoq,1,Spain,46996,47046,1.0,1.0
Èric Luna,363042398,2018-02-19 23:02:32,RT @CollectiuEmma: Operation #Catalonia: Spain's assault on democracy https://t.co/PvEX5cydQb,31,Catalonia,134,363,0.0,0.0
Kit Newton 🎗️,434268367,2018-02-19 23:02:12,@hartigan_connor Many UK proEU centrists (can't call them lefts) - see #FBPE - won't back Catalonia because their p... https://t.co/jHzl94rhAn,0,FBPE,760,833,0.25,0.25
AnRoVer77,934485731464175623,2018-02-19 23:01:59,RT @hartigan_connor: Catalonia is progressive and forward-looking. The Spanish state is deeply conservative and backward-looking. Given thi...,47,None,130,156,0.0,0.2
Lluís,2593043199,2018-02-19 23:01:53,RT @CollectiuEmma: Operation #Catalonia: Spain's assault on democracy https://t.co/PvEX5cydQb,31,Catalonia,88,220,0.0,0.0
🎗️Lukanikos[[*]],473031560,2018-02-19 23:01:33,"RT @hartigan_connor: ""Far-right demonstrations always end in violence in Spain...There is no point in pretending they don't...far-right dem...",37,None,2151,2651,0.0,0.0
lticop,1560886328,2018-02-19 23:01:17,"RT @cdr_guindavols: RT @BoykoBorissov

Catalonia
A DEMOCRACY matter: We are European citizens and as such we demand our right to decide fre...",19,None,44,250,0.09523809523809523,0.3452380952380952
Karim,9228982,2018-02-19 23:01:14,RT @hartigan_connor: Catalonia is progressive and forward-looking. The Spanish state is deeply conservative and backward-looking. Given thi...,47,None,251,337,0.0,0.2
Jackie De Burca,23792669,2018-02-19 23:01:00,#Spain has some well kept #secrets- be one of the first in the know-see #gorgeous #Reus https://t.co/O4irTXx7JN https://t.co/FCmRpAeSRc,0,Spain,31474,27090,0.475,0.6166666666666667
Lluc,64154920,2018-02-19 23:00:47,"RT @hartigan_connor: ""Far-right demonstrations always end in violence in Spain...There is no point in pretending they don't...far-right dem...",37,None,200,508,0.0,0.0
Francesc Riverola,25488729,2018-02-19 23:00:34,"RT @Foreign_Cat: This is the truth about language immersion in #Catalonia 's schools. 
Don't let you be fooled about this, dear #friendsofC...",58,Catalonia,21640,273,0.0,0.0
Cristina,904068983174856706,2018-02-19 23:00:14,"RT @HedwigJanes: Important to know: Catalonia's Book Industry Is Small But Vibrant https://t.co/rHui03mBQn via @publisherswkly
 @Foreign_Cat",28,None,59,170,0.10555555555555556,0.5777777777777777
CT SEGRIÀ SUD🎗️,3328149022,2018-02-19 23:00:13,"RT @lizcastro: Spain's democracy and EU credibility are at stake in Catalonia, says Swedish newspaper
https://t.co/MCjyqRPkoq",356,None,434,715,0.0,0.0
Josep Pinyol  🎗️‏,293674769,2018-02-19 22:59:44,RT @hartigan_connor: Catalonia is progressive and forward-looking. The Spanish state is deeply conservative and backward-looking. Given thi...,47,None,268,1059,0.0,0.2
