username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
PAT QUINN,210275927,1/25/18 18:23,RT @RealJamesWoods: The Democrats hate America so much... https://t.co/j6hWn3Vh3s,2574,None,397,162,-0.3,0.55
_Ÿ‡º_Ÿ‡¸MONTEREY_Ÿ‡º_Ÿ‡¸,2381651778,1/25/18 18:23,RT @tponews: Trump should #ReadTheMemo during #StateOfTheUnion https://t.co/uzPmzdPmXH,5,ReadTheMemo,606,566,0,0
IN Fed. of Families,165462640,1/25/18 18:23,"Trump Signs Family Caregivers Acthttps://t.co/4uYks3DQLJ",0,None,849,424,0,0
Ñ”â„“â„“Ñ”Î· âù£ï¸è,7.82274E+17,1/25/18 18:23,RT @ClaraSuvr: Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/Fh0eWoS0Qt,1,None,247,139,-0.65,0.95
GÃ¶khan Ã‡Ä±nkara,2523643100,1/25/18 18:23,"RT @mawilner: Meanwhile, US sources tell me that reports Trump's plan includes a proposed Palestinian capital in Abu Dis are categorically...",9,None,278,3186,0,0
John Kerr Brown,8.87291E+17,1/25/18 18:23,"RT @SWAM10056: ""President to the UK"" Its not the man but the county! We have all lived securely under the USA nuclear umbrella since WW11....",5,None,149,123,0.4,0.6
John Scheid,1655611938,1/25/18 18:23,"RT @NOW1SOLAR: As a solar company, we are devastated to learn Trump has imposed a 30% tariff on solar panels virtually killing the solar in...",81840,None,8,39,0,0
Geronimo Hall,161998513,1/25/18 18:23,RT @DiamondandSilk: It's a sad day in America when mayors fight hard to protect Illegal Aliens instead of protecting American Citizens. SAD...,1660,None,1779,1627,-0.358333333,0.608333333
DemExit Abolitionist,94132483,1/25/18 18:23,RT @chuckwoolery: DOJ recovers missing text messages between anti-Trump FBI agents Strzok and Page https://t.co/WxltBRWXt6 #FoxNews,60,FoxNews,4186,4999,-0.2,0.05
Buffet Molester,9.51154E+17,1/25/18 18:23,"RT @KamVTV: I remember during the campaign Trump said ""I WILL RESTORE LAW AND ORDER"" . This is why the left is fighting so hard against T...",19,None,1,12,-0.145833333,0.270833333
iriskleinheisterkamp,7.96782E+17,1/25/18 18:23,"RT @irishrygirl: In 2014 the US was ranked 4th to install solar power, 2015 39% of all US electricity was generated by solar power, 2016 37...",111,None,431,540,0,0
Gray,7.32521E+17,1/25/18 18:23,"RT @HoarseWisperer: So, Trump allegedly told a reporter he would meet with Mueller under oath.Fun-fact: no oath is required when meeting...",627,None,1993,1862,-0.1,0.1
Drea,173593853,1/25/18 18:23,"RT @kylegriffin1: A growing number of Davos attendees are planning to walk out of Trump's speech at the World Economic Forum this Friday, s...",1276,None,534,785,0.2,0.2
victor rodriguez,19359393,1/25/18 18:23,"RT @Education4Libs: How many of you have a smaller friends circle since the election of Trump?I never knew how brainwashed and intolerant...",664,None,361,159,0.25,0.5
DeAnna,8.16433E+17,1/25/18 18:23,RT @ElderLansing: POTUS Trump's tax cut bill has multiple corporations giving employees significant bonuses and pay raises while Dumbocrats...,260,None,511,528,0.1875,0.4375
fineapple,278346399,1/25/18 18:23,"RT @ToBeSelfEvident: in the opening moments of the trump presidency, @DMVBlackLives and partners like @BLMCamb from @mvmt4bl were there in...",5,None,412,229,0,0
Random Tourist (2018 model),3366423795,1/25/18 18:23,"RT @angryczeck: EVANGELICALS: ""Trump deserves a sex mulligan because at the age of 70 he's a changed man.""COMMON SENSE: ""So, by that logic...",1,None,347,838,-0.3,0.5
#DreamActNow Fester,5555342,1/25/18 18:23,"RT @jonrog1: Every article that starts with ""Trump is delivering on the economy"" and has ""Of course, he's basically just managing not to sc...",25,None,203,649,0,0
rcardone,531485005,1/25/18 18:23,DOJ recovers missing text messages between anti-Trump FBI agents Strzok and Page https://t.co/9SO5qabYVm #FoxNews,0,FoxNews,2506,2498,-0.2,0.05
TheFParisCat: remove Nazis please,2744469843,1/25/18 18:23,"RT @krassenstein: Sarah Huckabee Sanders: I doubt ""any person in America"" cares about Trump asking FBI chief who he voted for. I do!!!R...",20366,None,44,363,0,0
Grace Kellie,4749782844,1/25/18 18:23,"RT @Acosta: After Trump says of Davos ""It's been really successful..."" I asked him how he can be America First if he's rubbing elbows with...",232,None,124,97,0.5,0.641666667
OWG-Liberal,23269776,1/25/18 18:23,"RT @TeaPainUSA: Trump loves to lie about ""Love.""Trump 2018: ""I would LOVE to interview with Bob Mueller.""Trump 2016: ""If I decide to ru...",1301,None,789,856,0.5,0.6
My2Sintz,1123303027,1/25/18 18:23,"RT @joncoopertweets: A long and growing list of former (and current) Trump associates who may be called to testify against him:Rick Gates...",803,None,3536,4038,-0.016666667,0.266666667
Maria Inger,3087610824,1/25/18 18:23,"RT @ABCPolitics: Pres. Trump has arrived at the World Economic Forum in Davos, Switzerland. Asked if he would be received well, he joked, ""...",756,None,1749,1043,0.2,0.2
david percy,588497903,1/25/18 18:23,RT @Lots_Of_Fun_69: Why is the @TorontoStar always writing about Trump. Not this SCUMBAG @JustinTrudeau and his non Canadian liberal party....,35,None,825,1494,0,0
Kristine,355075278,1/25/18 18:23,Russians Flock to Trump Properties to Give Birth to U.S. Citizens https://t.co/4XYkMSa7BC via .@thedailybeast... https://t.co/EDHXxyIPfM,0,None,3519,4986,0,0
Lynneâù_ï¸è_Ÿ‡º_Ÿ‡¸âù_ï¸è,8.05542E+17,1/25/18 18:23,"@JohnCDavidson7 @ColumbiaBugle When people wake up....they wake upTrump was our nations alarm clock!",0,None,10778,9871,0,0
Debbie,7.88196E+17,1/25/18 18:23,RT @cbouzy: BREAKING!!! Senate Judiciary Committee plans to release transcripts of its interviews with Donald Trump Jr. I get the feelin...,8,None,2165,2785,0,0
Veronica McGrath,8.73943E+17,1/25/18 18:23,"RT @JudgeJeanine: John Kerry is a loser. Our prayers would be answered if he runs against President Trump.https://t.co/qVzFHb9e8l",1124,None,219,67,0,0
Morrison Thompson,1938334020,1/25/18 18:23,@julie4evert @TheView Wow! Where do I start? You are a woman and u say something like that? Do u say it because Tru... https://t.co/eM4FVv1MHT,0,None,14,33,0.125,1
DR.J,283960850,1/25/18 18:23,RT @businessinsider: President Trump tells Theresa May not to believe the 'false rumour' that he doesn't 'have great respect for everything...,7,None,967,1627,0.2,0.675
Caring Mind,8.05764E+17,1/25/18 18:23,"RT @JoeNBC: A United States Senator breathlessly suggested a ""secret society"" within the FBI was plotting the overthrow the president. It w...",5126,None,179,107,-0.4,0.7
Notre Dame News,34373370,1/25/18 18:23,.@Philosophy_ND's Gary Gutting talks with @nytimes : Is President Trump a Stealth Postmodernist or Just a Liar? https://t.co/6bBJTV00nu,0,None,39452,89,0,0
Renegade Pizza Guy,372784372,1/25/18 18:23,"@miracleofsound Let's be fair, the Doomsday Clock is an utterly arbitrary indicator that is based on what scary thi... https://t.co/X6e0sxrY2z",0,None,197,60,0.033333333,0.833333333
kryss,27732009,1/25/18 18:23,"RT @RepAdamSchiff: Trump goes to Davos, having insulted many of the world leaders there, to tell them to put ""America First."" Apparently th...",2805,None,642,1461,0.266666667,0.394444444
Dan Springer,8.33506E+17,1/25/18 18:23,@RBReich That is the first requirement on the job description for all Trump appointees.,0,None,107,94,0.25,0.333333333
#ReleaseTheMemo judsonjaggers,510952680,1/25/18 18:23,RT @RealJamesWoods: The Democrats hate America so much... https://t.co/j6hWn3Vh3s,2575,None,244,396,-0.3,0.55
Justin Knighten,14410561,1/25/18 18:23,"RT @melmason: .@JerryBrownGov swipes at @realDonaldTrump (unnamed) for not believing science of climate change. Earlier, he gave president...",6,None,1815,3061,0,0.5
Jeffrey Guilford,331907009,1/25/18 18:23,"RT @Hoosiers1986: #ThursdayThoughtsThe corruption of Obama &amp; today's Democratic Party is a national embarrassment!John Kerry is the lat...",1013,ThursdayThoughts,149,679,0,0
Rob,2582936941,1/25/18 18:23,"RT @GulfIntlForum: #US, #Europe huddle on #Iran after #Trump ultimatum https://t.co/rO2iZccnWv via @AlMonitor",2,US,58,855,0,0
NathaneBlaze,2167141803,1/25/18 18:23,"RT @TravisAllen02: We need to Impeach Trump ASAP. RT if you agree! #ThursdayThoughts",148,ThursdayThoughts,19,137,0,0
Dannny Mets P,8.29725E+17,1/25/18 18:23,"RT @Hoosiers1986: #ThursdayThoughtsThe corruption of Obama &amp; today's Democratic Party is a national embarrassment!John Kerry is the lat...",1013,ThursdayThoughts,169,385,0,0
Old Man Stone _Ÿ˜__Ÿ‡º_Ÿ‡¸,7.31608E+17,1/25/18 18:23,"RT @_IamAnita_: [?][?]Well hmmm Steyer seems to have problems paying the taxes he ALREADY  owes.#TaxReform #ReleaseTheMemo #ReleaseTheTe...",19,TaxReform,13871,12705,-0.75,1
Dylan Henrich,46987778,1/25/18 18:23,"RT @jimsciutto: So: 1- GOP Senator says ""secret society"" text was a joke2- GOP-led DOJ says it is ""unaware"" of any FISA wrongdoing3- Miss...",120,None,118,198,-0.2,0.6
Koko,8.05871E+17,1/25/18 18:23,"RT @scjessey: That day when @Netanyahu stroked @realDonaldTrump's ego, then Trump got all excited and claimed he'd brought about world peac...",1,None,770,1609,0.375,0.75
Karrie Chavez,7.95299E+17,1/25/18 18:23,RT @MSNBC: MaddowBlog: Facts discredit Trump's latest conspiracy theory about the FBI https://t.co/6f4Y8hYWJO,227,None,416,311,0.5,0.9
Brenda Soriano,2774478427,1/25/18 18:23,"RT @latimes: Trump says he'll propose a way to citizenship for ""Dreamers"" https://t.co/5Jh5NEDP8o https://t.co/S68publEg1",56,None,218,295,0,0
GioGio,4033608166,1/25/18 18:23,RT @SandraVay1: Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/xEGBB6XLFU,1,None,2378,3178,-0.65,0.95
Linda LeCuyer,22502240,1/25/18 18:23,"RT @DutyOfAPatriot: Was Chuckles referring to the #SecretSociety !?[?]Trust them as far as I could throw them! Schumer said they would get ba...",576,SecretSociety,2690,3036,0.125,1
Sisca Wells,9.03929E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/Juhd7GdfEC,0,None,180,862,-0.65,0.95
bobbi2124,3294793198,1/25/18 18:23,"RT @TheGoodGodAbove: The Delusion Bubble amongst Republicans has reached DANGEROUSLY insane levels.They legitimately think the FBI inves...",1187,None,250,403,-1,1
Chuck,4102245137,1/25/18 18:23,Grassley plans to release Trump Jr. interview transcript https://t.co/aZdv0q9aH1 via @politico,0,None,1212,2712,0,0
jmac,251667263,1/25/18 18:23,"RT @TeaPainUSA: Watchin' a fake GOP scandal fall apart is truly a beautiful thing, Patriots!  Trump Jr's transcripts are bein' released and...",877,None,891,1521,0.25,1
Chris Sholar,3001595159,1/25/18 18:23,"RT @dbongino: ""Unprecedented"" cooperation by the Trump team and unprecedented transparency on the part of Don Jr. while liberals continue t...",3584,None,3313,5001,0.6,0.9
Jaimini Chatwani,1658528450,1/25/18 18:23,RT @BreitbartNews: When u know de wae. https://t.co/DNXyunk1At,273,None,767,390,0,0
Michael Carey,164496237,1/25/18 18:23,RT @Salon: Trump's super PAC spent thousands at Trump Hotel last year https://t.co/3S0z26bCAe https://t.co/Rn2EBff4yL,14,None,282,717,0.077777778,0.277777778
Masha Q #Resist,9.15493E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/usROgduwhw,0,None,176,690,-0.65,0.95
Ruthann Grattan,7.56989E+17,1/25/18 18:23,RT @36Angeldb: I agree with Roger Stone! Don't trust Mueller! He's trying to entrap  .@POTUS This Mueller investigation is a sham! #IndictM...,169,None,1738,2305,-0.25,0.3
Cares_matic,8.4983E+17,1/25/18 18:23,"RT @dbongino: Why is John Kerry ""colluding"" with the Palestinians? https://t.co/Lsf87Xgq77#ReleaseTheMemo",1800,ReleaseTheMemo,3959,3874,0,0
Alyona #resist,9.15484E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/BnYyw6WfiO,0,None,162,1222,-0.65,0.95
Litty Titty Kayla _Ÿ’‹,116222780,1/25/18 18:23,"RT @CBCAlerts: BREAKING: Doomsday Clock signalling how close Earth is to destruction has been set at two minutes to midnight, the most dire...",2532,None,276,723,0.5,0.5
Jeremy Poole,370198909,1/25/18 18:23,RT @PrisonPlanet: Divisive figures like Sadiq Khan and far-left councils trying to ban Trump from entering need to stop sabotaging the best...,239,None,32065,34737,1,0.3
Reginald Denny,430883587,1/25/18 18:23,RT @RealJamesWoods: The Democrats hate America so much... https://t.co/j6hWn3Vh3s,2575,None,457,725,-0.3,0.55
Chiara _Ÿ’•_Ÿê˜_Ÿê»,96838477,1/25/18 18:23,"RT @RepAdamSchiff: Trump goes to Davos, having insulted many of the world leaders there, to tell them to put ""America First."" Apparently th...",2805,None,218,553,0.266666667,0.394444444
Fiona Svetlana_Ÿ‡º_Ÿ‡¸_ŸŒ_,4872157347,1/25/18 18:23,"RT @GraemeDemianyk: Hoo boy ... on Sky News, @KayBurley describes Trump as being a ""slippery fish"". Ex-US ambassador John Bolton calls her...",12,None,4811,5274,0,0
